datetime,symbol,action,quantity,price,mode,confiance
2025-08-09 06:03:20,SOLUSDT,buy,1.086,177.14,simulation,0.78
2025-09-25 12:02:59,BNBUSDT,buy,0.165,990.39,simulation,0.73
2025-10-02 12:01:59,SOLUSDT,sell,1.084,225.57,simulation,0.78
2025-10-03 00:02:12,BNBUSDT,sell,0.164,1080.54,simulation,0.84
2025-10-04 18:01:35,SOLUSDT,buy,0.884,225.35,simulation,0.86
2025-10-10 18:01:09,ETHUSDT,buy,0.1058,4095.26,simulation,0.78
2025-10-10 23:23:44,BTCUSDT,buy,0.00276,108485.84,simulation,0.78
2025-10-11 00:01:53,BNBUSDT,buy,0.06,1093.45,simulation,0.78
2025-10-12 18:02:23,BNBUSDT,sell,0.059,1303.0,simulation,0.83
2025-10-14 07:01:52,BNBUSDT,buy,0.805,1240.47,simulation,0.78
2025-10-17 18:25:19,BNBUSDT,sell,0.804,1088.23,simulation,0.83
2025-10-21 06:04:28,BNBUSDT,buy,0.929,1074.68,simulation,0.73
2025-10-23 17:07:55,TRXUSDT,buy,3130.6,0.3191,simulation,0.78
2025-10-23 19:00:32,LINKUSDT,buy,56.6,17.65,simulation,0.78
2025-10-23 23:11:17,ADAUSDT,buy,1563.3,0.639,simulation,0.78
2025-10-26 05:01:35,XLMUSDT,buy,3096.0,0.3226,simulation,0.78
2025-10-26 12:46:19,ETHUSDT,sell,0.1056,4042.69,simulation,0.78
2025-10-27 12:58:27,BNBUSDT,sell,0.928,1176.7,simulation,0.83
2025-10-28 06:57:27,BNBUSDT,buy,0.888,1123.98,simulation,0.78
2025-10-28 20:52:06,DOGEUSDT,buy,5075.0,0.19681,simulation,0.78
2025-10-28 21:20:18,XRPUSDT,buy,384.3,2.5991,simulation,0.78
2025-10-29 02:14:39,ETHUSDT,buy,0.0376,3977.53,simulation,0.78
